categoria,archivo,nombre_visible,url
Informativas,Informativas\Primeros Auxilios.png,Primeros Auxilios,https://practicatest.co/static/img/co/temario/senales_informativas/si16_primeros_auxilios.png
Informativas,Informativas\Servicios Sanitarios.png,Servicios Sanitarios,https://practicatest.co/static/img/co/temario/senales_informativas/si17_servicios_sanitarios.png
Informativas,Informativas\Restaurante.png,Restaurante,https://practicatest.co/static/img/co/temario/senales_informativas/si18_restaurante.png
Informativas,Informativas\Telefono.png,Telefono,https://practicatest.co/static/img/co/temario/senales_informativas/si19_telefono.png
Informativas,Informativas\Iglesia.png,Iglesia,https://practicatest.co/static/img/co/temario/senales_informativas/si20_iglesia.png
Informativas,Informativas\Taller.png,Taller,https://practicatest.co/static/img/co/temario/senales_informativas/si21_taller.png
Informativas,Informativas\Estacion De Servicio.png,Estacion De Servicio,https://practicatest.co/static/img/co/temario/senales_informativas/si22_estacion_de_servicio.png
Informativas,Informativas\Montallantas.png,Montallantas,https://practicatest.co/static/img/co/temario/senales_informativas/si23_montallantas.png
Informativas,Informativas\Cruce Peatonal.png,Cruce Peatonal,https://practicatest.co/static/img/co/temario/senales_informativas/si24_cruce_peatonal.png
Informativas,Informativas\Discapacitados.png,Discapacitados,https://practicatest.co/static/img/co/temario/senales_informativas/si25_discapacitados.png
Informativas,Informativas\Nomenclatura Urbana.png,Nomenclatura Urbana,https://practicatest.co/static/img/co/temario/senales_informativas/si26_nomenclatura_urbana.png
Informativas,Informativas\Seguridad Vial.png,Seguridad Vial,https://practicatest.co/static/img/co/temario/senales_informativas/si27_seguridad_vial.png
Informativas,Informativas\Informacion Geografica.png,Informacion Geografica,https://practicatest.co/static/img/co/temario/senales_informativas/si28_informacion_geografica.png
Informativas,Informativas\Transporte Ferroviario.png,Transporte Ferroviario,https://practicatest.co/static/img/co/temario/senales_informativas/si29_transporte_ferroviario.png
Informativas,Informativas\Transporte Masivo.png,Transporte Masivo,https://practicatest.co/static/img/co/temario/senales_informativas/si30_transporte_masivo.png
Informativas,Informativas\Zona Recreativa.png,Zona Recreativa,https://practicatest.co/static/img/co/temario/senales_informativas/si31_zona_recreativa.png
